epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.955,1.86376,1.84511,1.6718,0.09105,0.30714,0.04966,0.02043,2.43878,13.3981,2.45991,0.000662192,0.000662192,0.000662192
2,187.252,1.94795,1.77469,1.76947,0.35897,0.43817,0.35973,0.16353,1.90839,8.79938,1.87897,0.0013157,0.0013157,0.0013157
3,272.888,1.90658,1.7274,1.75579,0.48737,0.47662,0.44182,0.19622,1.94265,5.85192,1.89777,0.00195601,0.00195601,0.00195601
4,358.138,1.8711,1.71937,1.72973,0.61689,0.55065,0.58957,0.29108,1.8093,2.46084,1.75526,0.0019406,0.0019406,0.0019406
5,443.523,1.82587,1.61894,1.68427,0.65067,0.57792,0.63376,0.30214,1.799,2.23897,1.75819,0.0019208,0.0019208,0.0019208
6,528.821,1.78946,1.5664,1.66939,0.69474,0.60149,0.65586,0.35015,1.69516,1.92359,1.6413,0.001901,0.001901,0.001901
7,614.32,1.78475,1.54299,1.64657,0.61556,0.62857,0.63204,0.33378,1.74633,1.91586,1.71857,0.0018812,0.0018812,0.0018812
8,699.461,1.72874,1.48663,1.61013,0.71429,0.65974,0.69767,0.37245,1.59328,1.69244,1.59448,0.0018614,0.0018614,0.0018614
9,784.78,1.7286,1.44682,1.61476,0.71476,0.68178,0.73963,0.38953,1.64606,1.50069,1.61338,0.0018416,0.0018416,0.0018416
10,869.926,1.67444,1.4059,1.58559,0.75272,0.70564,0.76162,0.41313,1.62545,1.39361,1.58907,0.0018218,0.0018218,0.0018218
11,955.466,1.69034,1.398,1.58021,0.7194,0.66818,0.72936,0.39762,1.59044,1.41894,1.58665,0.001802,0.001802,0.001802
12,1040.43,1.64351,1.37499,1.57995,0.70886,0.67985,0.72644,0.39174,1.56844,1.3409,1.56463,0.0017822,0.0017822,0.0017822
13,1125.45,1.64707,1.35866,1.56774,0.73581,0.69221,0.76237,0.44432,1.53818,1.32189,1.55708,0.0017624,0.0017624,0.0017624
14,1210.58,1.63619,1.37075,1.56028,0.76961,0.66299,0.73869,0.40476,1.57664,1.26212,1.56187,0.0017426,0.0017426,0.0017426
15,1295.52,1.63244,1.3334,1.54782,0.774,0.71387,0.78701,0.41003,1.61659,1.24076,1.56625,0.0017228,0.0017228,0.0017228
16,1380.46,1.60156,1.28791,1.54824,0.79125,0.72116,0.79326,0.4547,1.49733,1.15405,1.53591,0.001703,0.001703,0.001703
17,1465.57,1.59408,1.31346,1.54188,0.78889,0.75779,0.80569,0.46742,1.51953,1.16558,1.5494,0.0016832,0.0016832,0.0016832
18,1550.74,1.58775,1.27687,1.53514,0.77982,0.74091,0.80596,0.45971,1.50729,1.24519,1.52586,0.0016634,0.0016634,0.0016634
19,1635.68,1.60125,1.26555,1.53863,0.78148,0.76169,0.81213,0.47083,1.50249,1.1106,1.5141,0.0016436,0.0016436,0.0016436
20,1721.08,1.5679,1.25396,1.51908,0.7831,0.74481,0.80127,0.47502,1.41735,1.13273,1.47891,0.0016238,0.0016238,0.0016238
21,1806.36,1.57522,1.24519,1.52915,0.80164,0.7453,0.82204,0.49724,1.4079,1.0774,1.46542,0.001604,0.001604,0.001604
22,1891.5,1.56951,1.23561,1.53826,0.78877,0.75412,0.81933,0.49452,1.42099,1.07831,1.51471,0.0015842,0.0015842,0.0015842
23,1976.5,1.54554,1.20802,1.5058,0.78493,0.76429,0.81676,0.49982,1.41033,1.02061,1.45515,0.0015644,0.0015644,0.0015644
24,2061.98,1.53729,1.18563,1.51186,0.76083,0.78496,0.82551,0.49397,1.38052,1.14212,1.44909,0.0015446,0.0015446,0.0015446
25,2147.05,1.52647,1.16787,1.49129,0.80105,0.73247,0.81594,0.4978,1.39341,1.0124,1.46605,0.0015248,0.0015248,0.0015248
26,2231.95,1.5192,1.145,1.49005,0.78108,0.76753,0.82506,0.51241,1.36154,1.0035,1.47781,0.001505,0.001505,0.001505
27,2317.16,1.5126,1.14873,1.48387,0.81732,0.78182,0.84961,0.53101,1.35596,0.96623,1.44287,0.0014852,0.0014852,0.0014852
28,2402.32,1.51226,1.13751,1.48007,0.80652,0.77416,0.83465,0.5136,1.38057,0.98004,1.45894,0.0014654,0.0014654,0.0014654
29,2487.43,1.47731,1.08276,1.45838,0.79911,0.77468,0.84387,0.52,1.39446,1.00013,1.44565,0.0014456,0.0014456,0.0014456
30,2572.46,1.49438,1.08787,1.46987,0.80539,0.76858,0.83593,0.51942,1.33983,0.9599,1.43077,0.0014258,0.0014258,0.0014258
31,2657.41,1.46674,1.08019,1.45485,0.82083,0.78238,0.85831,0.5341,1.36475,0.91617,1.45012,0.001406,0.001406,0.001406
32,2742.66,1.46312,1.06566,1.4379,0.82796,0.77013,0.8372,0.52514,1.3526,0.92675,1.44568,0.0013862,0.0013862,0.0013862
33,2827.57,1.44863,1.05451,1.44629,0.80826,0.79106,0.84613,0.52646,1.33725,0.88503,1.42231,0.0013664,0.0013664,0.0013664
